ParticipantID,Excluded,Group,Cue,FAstop,Stoptrials,StopRespondrate,SST_mean,RT_prctl,SSRT_prctl
1,0,5hr,LT,21,40,0.53,44,313,270
1,0,5hr,HT,19,40,0.48,44,312,268
2,0,8hr,LT,20,40,0.5,118,332,215
2,0,8hr,HT,19,38,0.5,87,333,246
3,0,5hr,LT,16,32,0.5,116,353,237
3,0,5hr,HT,20,42,0.48,109,310,201
5,0,5hr,LT,12,24,0.5,41,351,309
5,0,5hr,HT,15,31,0.48,28,345,317
6,0,8hr,LT,18,37,0.49,79,352,273
6,0,8hr,HT,21,37,0.57,95,373,278
7,4,5hr,LT,33,39,0.85,33,470,437
7,4,5hr,HT,30,39,0.77,39,391,352
8,4,8hr,LT,25,36,0.69,56,413,357
8,4,8hr,HT,23,33,0.7,58,330,272
9,0,5hr,LT,18,37,0.49,224,439,215
9,0,5hr,HT,18,38,0.47,189,436,247
11,0,5hr,LT,21,39,0.54,81,376,295
11,0,5hr,HT,22,40,0.55,84,398,314
12,0,8hr,LT,18,32,0.56,181,383,201
12,0,8hr,HT,21,41,0.51,166,369,203
13,0,5hr,LT,21,38,0.55,79,288,209
13,0,5hr,HT,22,38,0.58,74,307,233
14,0,8hr,LT,20,36,0.56,200,439,239
14,0,8hr,HT,19,39,0.49,144,392,248
16,0,8hr,LT,18,36,0.5,144,375,231
16,0,8hr,HT,18,35,0.51,109,369,260
18,0,8hr,LT,19,35,0.54,271,439,169
18,0,8hr,HT,15,37,0.41,166,392,226
19,0,5hr,LT,16,34,0.47,118,327,209
19,0,5hr,HT,22,38,0.58,59,333,274
21,0,5hr,LT,16,35,0.46,135,394,259
21,0,5hr,HT,19,36,0.53,126,354,228
22,0,8hr,LT,19,38,0.5,150,375,225
22,0,8hr,HT,17,38,0.45,147,368,221
23,0,5hr,LT,19,38,0.5,103,373,270
23,0,5hr,HT,20,35,0.57,58,353,295
24,0,8hr,LT,20,38,0.53,86,333,247
24,0,8hr,HT,19,38,0.5,96,352,256
26,0,8hr,LT,17,35,0.49,142,393,251
26,0,8hr,HT,20,39,0.51,94,383,288
27,0,5hr,LT,21,39,0.54,154,373,218
27,0,5hr,HT,19,36,0.53,113,337,224
28,0,8hr,LT,17,34,0.5,159,355,196
28,0,8hr,HT,21,40,0.53,138,354,217
30,0,8hr,LT,21,38,0.55,111,413,302
30,0,8hr,HT,19,37,0.51,98,349,251
31,0,5hr,LT,20,38,0.53,116,349,233
31,0,5hr,HT,18,38,0.47,105,334,229
32,0,8hr,LT,18,35,0.51,105,416,311
32,0,8hr,HT,20,36,0.56,100,414,314
33,0,5hr,LT,17,37,0.46,239,470,232
33,0,5hr,HT,18,37,0.49,187,437,250
38,0,8hr,LT,21,39,0.54,88,374,287
38,0,8hr,HT,18,38,0.47,93,351,257
40,0,8hr,LT,21,40,0.53,90,349,259
40,0,8hr,HT,20,35,0.57,69,334,265
42,0,8hr,LT,20,35,0.57,72,373,301
42,0,8hr,HT,22,39,0.56,56,351,295
44,3,8hr,LT,18,35,0.51,145,396,251
44,3,8hr,HT,19,37,0.51,160,417,257
45,0,5hr,LT,15,34,0.44,179,472,293
45,0,5hr,HT,13,31,0.42,165,473,308
47,0,5hr,LT,21,40,0.53,91,374,283
47,0,5hr,HT,19,38,0.5,103,353,250
48,0,8hr,LT,8,22,0.36,350,437,87
48,0,8hr,HT,12,25,0.48,279,478,199
49,0,5hr,LT,18,37,0.49,186,392,206
49,0,5hr,HT,18,37,0.49,120,394,274
50,0,8hr,LT,20,37,0.54,139,348,209
50,0,8hr,HT,19,38,0.5,155,327,172
52,0,8hr,LT,19,36,0.53,118,432,314
52,0,8hr,HT,17,37,0.46,95,375,280
53,0,5hr,LT,18,36,0.5,85,348,263
53,0,5hr,HT,18,36,0.5,122,333,211
54,0,8hr,LT,15,33,0.45,257,354,97
54,0,8hr,HT,17,40,0.43,180,354,174
60,3,8hr,LT,19,37,0.51,110,451,341
60,3,8hr,HT,21,38,0.55,74,348,274
61,0,5hr,LT,21,40,0.53,250,500,250
61,0,5hr,HT,19,36,0.53,269,518,249
62,0,8hr,LT,19,37,0.51,116,350,234
62,0,8hr,HT,18,38,0.47,109,334,225
63,0,5hr,LT,17,35,0.49,251,499,248
63,0,5hr,HT,19,40,0.48,278,560,283
64,0,8hr,LT,20,37,0.54,261,477,216
64,0,8hr,HT,18,36,0.5,181,414,233
66,0,8hr,LT,19,33,0.58,98,337,239
66,0,8hr,HT,20,39,0.51,67,314,247
67,0,5hr,LT,19,35,0.54,172,454,282
67,0,5hr,HT,22,40,0.55,95,415,320
70,3,8hr,LT,20,37,0.54,61,309,247
70,3,8hr,HT,21,37,0.57,60,305,245
72,0,8hr,LT,18,38,0.47,179,434,255
72,0,8hr,HT,18,36,0.5,147,390,243
73,0,5hr,LT,19,39,0.49,115,369,254
73,0,5hr,HT,17,37,0.46,125,390,265
75,0,5hr,LT,16,34,0.47,97,326,229
75,0,5hr,HT,19,30,0.63,52,306,255
77,0,5hr,LT,19,39,0.49,219,475,256
77,0,5hr,HT,19,40,0.48,208,455,247
79,0,5hr,LT,19,38,0.5,147,375,228
79,0,5hr,HT,22,39,0.56,70,330,260
81,0,5hr,LT,20,38,0.53,168,434,266
81,0,5hr,HT,19,38,0.5,137,417,280
89,0,5hr,LT,18,34,0.53,215,492,278
89,0,5hr,HT,18,34,0.53,199,475,276
91,0,5hr,LT,19,34,0.56,74,393,320
91,0,5hr,HT,18,35,0.51,68,374,306
93,0,5hr,LT,18,35,0.51,268,498,230
93,0,5hr,HT,17,36,0.47,250,479,229
